Contrato,Empresa,Ciclo,Solicitação,Emissão,Confirmação,Previsão,Valor Faturado,Valor líquido,Impostos,Status
Contrato 1390/2024 - SESAP,Mar Brasil,Nov-25,12/1/25,12/2/25,12/3/25,12/30/25,"R$ 25,266.70","R$ 21,165.75","R$ 4,100.95",Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Nov-25,12/1/25,12/2/25,12/3/25,1/16/26,"R$ 4,211.07","R$ 3,527.59",R$ 683.48,Pago
Contrato CRSN 6018/25 - CRSN,Mar Brasil,Nov-25,12/1/25,12/4/25,12/10/25,12/30/25,"R$ 23,767.51","R$ 19,909.89","R$ 3,857.62",Pendente
Contrato CSP 274/24 - CMSP,Mar Brasil,Nov-25,12/10/25,12/10/25,12/11/25,12/29/25,"R$ 50,206.66","R$ 42,057.79","R$ 8,148.87",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/30/25,"R$ 460,899.42","R$ 381,483.41","R$ 79,416.01",Pago
Rede Alpha - VISCONDE LEOPOLDO,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - AYRTON SENNA,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - COSTA 2,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/20/25,R$ 404.23,R$ 334.58,R$ 69.65,Pago
Crestani,Mar Brasil,Nov-25,11/28/25,11/28/25,11/28/25,11/28/25,"R$ 54,156.25","R$ 46,449.46","R$ 7,706.79",Pago
MAM,Mar Brasil,Nov-25,11/28/25,11/28/25,11/28/25,11/28/25,"R$ 45,545.00","R$ 39,063.65","R$ 6,481.35",Pago
Rossi Advocacia ,Mar Brasil,Nov-25,12/1/25,12/2/25,12/8/25,12/15/25,R$ 849.65,R$ 703.25,R$ 146.40,Pago
Contrato Locação Cellula Mater,Ybox,Nov-25,12/1/25,12/1/25,12/8/25,12/30/25,"R$ 22,012.37","R$ 20,547.51","R$ 1,464.86",Pago
Contrato Locação Polo Play,Ybox,Nov-25,12/1/25,12/1/25,12/8/25,12/20/25,"R$ 7,389.64","R$ 6,897.71",R$ 491.93,Pago
